galaxy,r_kpc,x,y,Rd_kpc
DDO168,1.24,0.8266666666666668,0.009281936251240248,1.4999999999999998
DDO168,1.64,1.0933333333333335,0.01606133084635222,1.4999999999999998
DDO168,2.06,1.3733333333333335,0.02154186483409596,1.4999999999999998
DDO168,2.47,1.646666666666667,0.028162421114617843,1.4999999999999998
DDO168,2.89,1.926666666666667,0.024885690647475384,1.4999999999999998
DDO168,3.3,2.2,0.023946633801196774,1.4999999999999998
DDO168,3.71,2.4733333333333336,0.021503908142457367,1.4999999999999998
DDO168,4.12,2.746666666666667,0.01684248427593901,1.4999999999999998
ESO444-G084,0.26,0.7428571428571429,0.036173744301990454,0.35
ESO444-G084,0.77,2.2,0.043877310015565295,0.35
ESO444-G084,1.29,3.685714285714286,0.04981476076732137,0.35
ESO444-G084,1.81,5.171428571428572,0.04338705938744054,0.35
ESO444-G084,2.32,6.628571428571428,0.04186784956953546,0.35
ESO444-G084,3.39,9.685714285714287,0.03604626860779934,0.35
ESO444-G084,4.44,12.685714285714287,0.027950867597778154,0.35
ESO563-G021,0.45,0.05882352941176472,-0.1916424081838798,7.649999999999999
ESO563-G021,1.34,0.1751633986928105,-0.16379147985786807,7.649999999999999
ESO563-G021,2.23,0.2915032679738563,-0.1130841019477065,7.649999999999999
ESO563-G021,3.12,0.40784313725490207,-0.005558627068409194,7.649999999999999
ESO563-G021,4.01,0.5241830065359477,0.02322154163998183,7.649999999999999
ESO563-G021,4.9,0.6405228758169936,0.11543701952522446,7.649999999999999
ESO563-G021,5.79,0.7568627450980394,0.14117229197395328,7.649999999999999
ESO563-G021,6.69,0.8745098039215689,0.1404798188718142,7.649999999999999
ESO563-G021,7.58,0.9908496732026145,0.15952688195271691,7.649999999999999
ESO563-G021,8.47,1.1071895424836604,0.15878049881806494,7.649999999999999
ESO563-G021,10.23,1.3372549019607847,0.12478251234251651,7.649999999999999
ESO563-G021,12.06,1.5764705882352945,0.12323558328413094,7.649999999999999
ESO563-G021,13.44,1.7568627450980394,0.10778431228470065,7.649999999999999
ESO563-G021,15.18,1.9843137254901964,0.09176464420234179,7.649999999999999
ESO563-G021,16.83,2.2,0.0864802998860029,7.649999999999999
ESO563-G021,18.56,2.4261437908496735,0.0861033572377816,7.649999999999999
ESO563-G021,20.3,2.653594771241831,0.08256525447596805,7.649999999999999
ESO563-G021,21.94,2.8679738562091512,0.07489337738580892,7.649999999999999
ESO563-G021,23.68,3.0954248366013077,0.06873935771007011,7.649999999999999
ESO563-G021,25.41,3.321568627450981,0.06817784375650032,7.649999999999999
ESO563-G021,27.06,3.5372549019607846,0.06376257240559212,7.649999999999999
ESO563-G021,28.8,3.764705882352942,0.06387421220717358,7.649999999999999
ESO563-G021,30.53,3.9908496732026153,0.06299995415498635,7.649999999999999
ESO563-G021,32.18,4.206535947712419,0.06136884479880319,7.649999999999999
ESO563-G021,33.91,4.432679738562092,0.06185205838352927,7.649999999999999
ESO563-G021,35.65,4.660130718954249,0.06483923381696097,7.649999999999999
ESO563-G021,37.3,4.875816993464053,0.06392644973126141,7.649999999999999
ESO563-G021,39.03,5.101960784313727,0.06197168705531982,7.649999999999999
ESO563-G021,40.76,5.328104575163399,0.0579615636920049,7.649999999999999
ESO563-G021,42.41,5.543790849673203,0.0551601963099857,7.649999999999999
F568-3,0.64,0.1384464110127827,0.0020073071673499315,4.622727272727272
F568-3,1.18,0.25526057030481814,0.005673064211770111,4.622727272727272
F568-3,1.8,0.3893805309734514,0.010538764282547599,4.622727272727272
F568-3,2.03,0.4391347099311701,0.014659686235516316,4.622727272727272
F568-3,2.78,0.6013765978367749,0.02415422808452467,4.622727272727272
F568-3,3.0,0.6489675516224189,0.03355960204855482,4.622727272727272
F568-3,3.64,0.7874139626352017,0.03235898324671629,4.622727272727272
F568-3,4.19,0.9063913470993119,0.03836076488818439,4.622727272727272
F568-3,4.6,0.9950835791543756,0.03942850300022031,4.622727272727272
F568-3,5.14,1.111897738446411,0.03852516105540835,4.622727272727272
F568-3,5.39,1.1659783677482793,0.036137361507834,4.622727272727272
F568-3,6.31,1.3649950835791544,0.03317489833113859,4.622727272727272
F568-3,9.1,1.968534906588004,0.024844742281806685,4.622727272727272
F568-3,10.17,2.2,0.02294793704039712,4.622727272727272
F568-3,11.99,2.593706981317601,0.02080707815231136,4.622727272727272
F568-3,14.02,3.032841691248771,0.020561267967978143,4.622727272727272
F568-3,15.94,3.4481809242871195,0.022566219392999808,4.622727272727272
F568-3,17.98,3.889478859390364,0.02132636913953419,4.622727272727272
F568-V1,0.39,0.10450669914738124,0.016793170132732148,3.731818181818182
F568-V1,1.18,0.31619975639464065,0.04384834388885148,3.731818181818182
F568-V1,1.95,0.5225334957369062,0.06742717870714905,3.731818181818182
